"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"23/07/2024","1.068.947.968","1.098.318.976","1.100.000.000","1.065.000.000","0,03K","-2,67%"
"22/07/2024","1.098.318.976","1.100.038.016","1.105.997.952","1.086.364.032","0,02K","-0,16%"
"21/07/2024","1.100.039.040","1.087.600.000","1.101.500.032","1.068.300.032","0,03K","1,14%"
"20/07/2024","1.087.600.000","1.075.496.960","1.094.264.960","1.070.636.032","0,02K","1,13%"
"19/07/2024","1.075.496.960","1.038.769.984","1.084.999.936","1.030.000.000","0,03K","3,54%"
"18/07/2024","1.038.769.984","1.038.022.976","1.053.494.016","1.030.000.000","0,01K","0,07%"
"17/07/2024","1.038.022.976","1.050.003.008","1.063.500.032","1.032.908.992","0,03K","-1,14%"
"16/07/2024","1.050.003.008","1.049.398.976","1.050.004.992","1.007.003.008","0,06K","0,06%"
"15/07/2024","1.049.398.976","985.001.024","1.049.400.000","981.772.032","0,05K","6,54%"
"14/07/2024","985.000.000","960.638.016","990.000.000","959.454.976","0,03K","2,54%"
"13/07/2024","960.638.016","937.516.992","967.406.016","936.780.992","0,01K","2,47%"
"12/07/2024","937.516.992","932.915.008","945.369.024","922.318.016","0,02K","0,49%"
"11/07/2024","932.915.008","943.286.976","962.000.000","927.032.000","0,03K","-1,10%"
"10/07/2024","943.286.976","949.686.976","968.673.984","934.808.000","0,03K","-0,49%"
"09/07/2024","947.913.024","926.563.008","950.083.008","921.001.024","0,02K","2,30%"
"08/07/2024","926.561.024","920.011.008","950.998.976","894.000.000","0,05K","0,71%"
"07/07/2024","920.000.000","956.504.000","958.774.976","920.000.000","0,03K","-3,82%"
"06/07/2024","956.505.024","931.364.992","958.774.976","921.248.000","0,04K","2,70%"
"05/07/2024","931.364.992","945.500.032","949.372.032","886.000.000","0,12K","-1,49%"
"04/07/2024","945.500.032","993.500.992","993.508.992","935.180.032","0,09K","-4,83%"
"03/07/2024","993.500.992","1.024.185.984","1.024.200.000","981.000.000","0,07K","-3,00%"
"02/07/2024","1.024.185.984","1.037.600.000","1.041.500.032","1.019.000.000","0,02K","-1,29%"
"01/07/2024","1.037.601.024","1.032.158.016","1.048.740.992","1.028.048.000","0,03K","0,53%"
